variant,canonical,score
inserm institute national de la sante et de la rech medicale,inserm (institut naational de la santé et de la rech médicale),93.44262295081968
inst de cancerologie de louest,ico inst de cancerologie de louest,93.75
inst investigacions biomèdiques august pi i sunyer idibaps,inst d’investigacions biomèdiques august pi i sunyer (idibaps),96.66666666666667
inst jean paoli irène calmettes,inst jean paoli irene calmettes,96.7741935483871
inst nat de la santé et de la rech médicale (inserm),inst nat de la sante et de la rech medicale (inserm),96.15384615384616
institut national de la sante et de la rech medicale in serm,institut national de la sante et de la rech medicale (inserm),97.52066115702479
institut national de la santé et de la rech médicale (inserm),institut national de la sante et de la rech medicale (inserm),96.72131147540983
int centre for genetic engineering and biotechnology icgeb,int centre for genetic engineering and biotechnology,94.54545454545455
jahn-hofmann kerstin,jahn-hoffmann kerstin,97.5609756097561
karlsson asa,karlsson aasa,96.0
kaufmann jorg,kaufmann joerg,96.2962962962963
koninlijke nederlandse akademie van wetenschappen,koninklijke nederlandse akademie van wetenschappen,98.98989898989899
lamonica nicola,la monica nicola,96.7741935483871
leturcq didier j,leturcq didier,93.33333333333333
lipford grayson b,lipford grayson,93.75
luxembourg inst of health lih,luxembourg inst of health (lih),96.66666666666667
medizinische hochshule hannove,medizinische hochschule hannover,96.7741935483871
museum nat d historie naturell,museum nat d histoire naturell,96.66666666666667
museum nat dhistoire naturelle,museum nat d histoire naturell,96.66666666666667
orionis biosciences nv,orionis biosciences bv,95.45454545454545
orum henrik,oerum henrik,95.65217391304348
ose immunotherapeutics sa,ose immunotherapeutics,93.61702127659575
pesonen sari,personen sari,96.0
petersen mikkel wandahl,pedersen mikkel wandahl,95.65217391304348
polyplus transfection sa,polyplus transfection,93.33333333333333
regula joerg-thomas,regula joerg thomas,94.73684210526316
rózga piotr kamil,rozga piotr kamil,94.11764705882352
schlingensiepen georg-f,schlingensiepen georg f,95.65217391304348
schlingensiepen karl-hermann,schlingensiepen karl hermann,96.42857142857143
schlingensiepen reimar,schlinensiepen reimar,97.67441860465115
schlingensiepen relmar,schlinensiepen reimar,93.02325581395348
siepis evgenios,siepi evgenios,96.55172413793103
spankuch-schmitt birgit,spaenkuch-schmitt birgit,97.87234042553192
st europeo di oncologia s r l,ieo st europeo di oncologia s r l,93.5483870967742
stahle mona,staahle mona,95.65217391304348
stein pascal andré,stein pascal andre,94.44444444444444
sylvestre nathalie,silvestre nathalie,94.44444444444444
the european molecular biology laboratory,european molecular biology laboratory,94.87179487179486
the provost fellows found scholars the other members of board of the college of the holy undiv t,the provost fellows found scholars the other members of board of the college of holy and undiv tri,94.84536082474226
thess andreas,thes andreas,96.0
thrue charlotte albaek,thrue charlotte albaeck,97.77777777777777
tron translationale onkologie an der univ der johannes gutenberg univ mainz,tron translationale onkologie an der univ der johannes gutenberg univ mains,98.66666666666667
tron translationale onkologie an der univ der johannes gutenberg univ mainz gemeinnutzige gmbh,tron translationale onkologie an der univ der johannes gutenberg univ mainz gemeinnuetzige gmbh,99.47089947089947
tron – translationale onkologie an der univ der johannes gutenberg univ mainz gemeinnuetzige,tron translationale onkologie an der univ der johannes gutenberg univ mainz gemeinnuetzige gmbh,96.2566844919786
tron—translationale onkologie an der univ der johannes gutenberg—universitaet mainz ge,03 tron—translationale onkologie an der univ der johannes gutenberg—universitaet mainz,96.51162790697676
ucb biopharma srl,ucb biopharma sprl,97.14285714285714
umc utrecht holding bv,umc utrecht holding b v,97.77777777777777
univ degli studi torino,univ degli studi di torino,93.87755102040816
univ degli studi trieste,univ degli studi di trieste,94.11764705882352
univ devry val dessone,univ d'evry val d'essonne,93.61702127659575
univ devry val dessonne,univ d'evry val d'essonne,95.83333333333334
univ ghent,univ gent,94.73684210526316
univ montpellier 1,univ montpellier,94.11764705882352
univ regensburg,uni regensburg,96.55172413793103
universitätsklinikum jena,universitaetsklinikum jena,94.11764705882352
veterinaermedizinische uni wien,veterinaermedizinische uni wie,98.36065573770492
veterinaermedizinische univ wien,veterinaermedizinische uni wie,96.7741935483871
viratherapeutics gmbh,vira therapeutic gmbh,95.23809523809523
vollmer jorg,vollmer joerg,96.0
wadell goran,wadell goeran,96.0
weber guenther,webber guenther,96.55172413793103
yang xiaodong,yang xiao-dong,96.2962962962963
yla-herttuala seppo,yla herttuala seppo,94.73684210526316
zacouto fred,zaccouto fred,96.0
|nserm institut national de la sante et de la rech medicale,inserm institut national de la sante et la rech medicale,95.65217391304348
